Property Address,Property Name,Number Of Units,Star Rating,Building Class,PropertyType,Secondary Type,Affordable Type,Building Status,Market Name,Submarket Name,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Address,Sale Company City State Zip,Sale Company Phone,Sale Company Fax,Sale Company Contact,Vacancy %,Month Built,Year Built,Year Renovated,Number Of Stories,Total Buildings,Rent Type,Property Manager Name,Property Manager Contact,Property Manager Phone,PropertyID,Owner Contact,Owner Name,Number Of Parking Spaces,County Name,Amenities,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Number Of Elevators,Operational Status,Latitude,Longitude,Four Bedroom Vacancy %,One Bedroom Vacancy %,Studio Vacancy %,Three Bedroom Vacancy %,Two Bedroom Vacancy %
560 Florida St,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,1988,,3,4,Market,,,,4034359,,Bade Capital Holdings Llc,18,San Diego,,,,7,,,0,,32.5865390,-117.1097140,,,,0.0,
565 Florida St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-1655,1180,1.28,1506,,,,,,,,,,4.50,,1985,,2,2,Market,,,,4426280,Phyllis Foster,Newman Foster and Foster Trust,14,San Diego,Air Conditioning,,4,1,,,0,,32.5863510,-117.1091400,,,,0.0,0.0
586 Florida St,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,2,,Market,,,,6241044,,Dagley Dorman L & B J Trust,10,San Diego,,,,,,,0,,32.5859020,-117.1091150,,,,,
739 Florida St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,1,,Market,,,,5895445,,Leadingham Trust 08-01-00,12,San Diego,,,,,,,0,,32.5831374,-117.1089933,,,,,
740 Florida St,Rancho Cornado Condos,36,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-2280,812,2.14,1741,,,,,,,,,,8.62,,1988,2010,2,3,Market,Rancho Coronado Condos,,6192711772,5063949,,Craig E Knudson Trust,30,San Diego,"Laundry Facilities, Patio",2,30,4,,,0,,32.5829618,-117.1096027,,50.0,,25.0,3.3
765-795 Florida St,,16,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-2275,921,,,,,,,,,,,,0.66,,1987,,2,2,Market,Florida Street,,6194293551,9469942,,Mrc Properties La Llc,,San Diego,,,16,,,,0,,32.5828262,-117.1089595,,,,,0.0
805 Florida St,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,2,1,Market,,,,5895448,Jacqueline Mathews,Mathews Jacqueline J A 05-20-9,8,San Diego,,,,,,,0,,32.5820455,-117.1090410,,,,,
812-16 Florida St,,3,2,,Multi-Family,,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-2212,717,,,,,,,,,,,,4.50,,1965,,1,,Market,,,,19674711,,,,San Diego,,,3,,,,0,,32.5819060,-117.1097420,,,,,0.0
825-35 Florida St,,6,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-2272,,,,,,,,,,,,,4.50,,,,2,1,Market,,,,9467870,,Yepiz Family Trust 08-30-01,5,San Diego,,,,,,,0,,32.5816961,-117.1090927,,,,,
843-851 Florida St,,5,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-2273,,,,,,,,,,,,,4.50,,1938,1992,2,1,Market,AMI Property Management,,6196972555,9466827,,Mitchell E & Kristen M Roe,6,San Diego,Air Conditioning,,,,,,0,,32.5814840,-117.1090255,,,,,
740 Georgia St,,13,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,800,1.69,1353,,,,,,,,,,0.59,,1988,,1,1,Market,"Krone & Bushard, Inc.",,6192267368,4188643,Christopher Bushard,Christopher Bushard,13,San Diego,Laundry Facilities,,13,,,,0,,32.5830381,-117.1047973,,,,,0.0
753-757 Georgia St,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-2344,1400,,,,,,,,,,,,4.49,,1974,,,2,,,,,11392885,,Rodrigo Lozano,,San Diego,"Yard, Grill, Family Room, Patio, Wet Bar",,2,1,,,0,,32.5828700,-117.1041700,,,,0.0,0.0
819 Georgia St,,3,2,,Multi-Family,,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,825,,,,,,,,,,,,4.50,,1975,2010,1,,Market,,,,13944859,,Amayzing Properties Llc,3,San Diego,Vinyl Flooring,,3,,,,0,,32.5819280,-117.1041050,,,,,0.0
847 Georgia St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,932,,,,,,,,,,4.50,,1990,,2,1,Market,,,,4291022,,Carmen C Giandoni,5,San Diego,Laundry Facilities,,6,,,,0,,32.5812420,-117.1042150,,,,,0.0
943 Georgia St,,1,2,C,Multi-Family,Apartments,Affordable Units,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-2340,1398,,,,,,,,,,,,3.50,,1980,2023,1,3,Market/Affordable,,,,18858578,,Big Papi Endeavors Llc,,San Diego,,,,,1,,0,,32.5798020,-117.1041865,0.0,,,,
944-946 Georgia St,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,1230,1.56,1916,,,,,,,,,,4.50,,1969,,1,1,Market,,,,8260001,,Alldredge Andrew J & Sharon L,4,San Diego,,,1,1,,,0,,32.5796901,-117.1047080,,,,0.0,0.0
1025 Georgia St,,14,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,794,1.15,911,,,,,,,,,,4.50,,1970,,2,2,Market,1025 Georgia St,,6199935785,4356908,,Karen L Eastman,14,San Diego,"Laundry Facilities, Playground",6,8,,,,0,,32.5781224,-117.1042486,,0.0,,,0.0
1035 Georgia St,,24,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,733,1.63,1195,,,,,,,,,,4.50,,1977,,2,2,Market,1035 Georgia St Apartments,,6194300409,4446944,John Nobel,John & Melody S Nobel,31,San Diego,"Laundry Facilities, Recycling, Smoke Free",,24,,,,0,,32.5776410,-117.1042040,,,,,4.2
1055 Georgia St,Tropicana,30,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,775,2.29,1773,,,,,,,,,,10.31,,1986,,2,1,Market,Tropicana Apartments,"Tina ",6195754917,5895474,Bill Blank,Billy D. Blank,24,San Diego,"Recycling, Patio",,30,,,,0,,32.5772526,-117.1039343,,,,,10.0
1070 Georgia St,,17,3,B,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,1992,,2,1,Market,,,,4032380,,Lynn S Titialii,25,San Diego,"Air Conditioning, Laundry Facilities, Security System",,,,,,0,,32.5769320,-117.1048030,,,,,
1195 Georgia St,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,1035,,,,,,,,,,,,4.50,,1957,,1,1,Market,,,,12374522,,Carlos Pastrana,,San Diego,,1,1,,,1,0,,32.5748487,-117.1043750,,0.0,0.0,,0.0
1141 Granger St,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3009,,,,,,,,,,,,,4.49,,,,2,,Market,,,,9190149,,Ocean View Church San Diego,,San Diego,,,,,1,,0,,32.5756623,-117.1022760,0.0,,,,
1349 Grove Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,775,1.77,1371,,,,,,,,,,4.50,,1979,,2,1,Market,,,,697132,,Muthanna & Majida Attisha,,San Diego,,1,7,,,,0,,32.5723576,-117.1046671,,0.0,,,0.0
1147-1149 Grove Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3508,,,,,,,,,,,,,4.50,,1978,,1,1,Market,,,,4489536,Fernando Famania,La Jolla Pacific Consultants,8,San Diego,,,5,,1,,0,,32.5726600,-117.1091650,0.0,,,,0.0
1151-1163 Grove Ave,Grove Apartments,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,1974,,1,3,Market,,,,5859553,Maria Luoni,Mark H Nys & Maria Luoni,12,San Diego,"Yard, Double Pane Windows",,6,,,,0,,32.5725500,-117.1087900,,,,,0.0
1187 Grove Ave,The Grove Apartments,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,1983,,2,3,Market,,,,4033394,Moyna Husain,Moyna I Husain Family Trust,13,San Diego,,,,,,,0,,32.5726465,-117.1083356,,,,,
1191-1199 Grove Ave,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,1,,Market,,,,5859549,,Pocklington Family Trust 05-16,8,San Diego,,,,,,,0,,32.5724500,-117.1079647,,,,,
1213 Grove Ave,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.49,,,,2,2,Market,,,,5859552,Sheila Martinez,Ignacio Martinez and Sheila Martinez Family Trust,8,San Diego,,,4,1,,,0,,32.5726700,-117.1075400,,,,0.0,0.0
1275-1281 Grove Ave,,4,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3666,750,,,,,,,,,,,,4.50,,1959,,1,,Market,,,,9245182,Bill Whitacre,Bill & Laura Whitacre Trust,4,San Diego,Yard,4,,,,,0,,32.5726026,-117.1061681,,0.0,,,
1325 Grove Ave,,15,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,2,1,Market,,,,5840267,Angeles Tubao,Germiniano Tubao,45,San Diego,,,,,,,0,,32.5727043,-117.1052782,,,,,
1343-1347 Grove Ave,,6,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3664,1000,1.55,1546,,,,,,,,,,0.67,,,,2,1,Market,Vito L Batalucco,,6197550504,9467925,,Vito L Batalucco,5,San Diego,,,6,,,,0,,32.5723981,-117.1048098,,,,,0.0
1351 Grove Ave,,6,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,2,1,Market,,,,9467908,,Parry William E,,San Diego,,,6,,,,0,,32.5724962,-117.1044711,,,,,0.0
1355-59 Grove Ave,,6,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3618,,,,,,,,,,,,,4.50,,1935,,2,1,Market,,,,9467889,,R Avery Russell & Patricia L & T,5,San Diego,,,,,,,0,,32.5726463,-117.1043605,,,,,
1371 Grove Ave,,14,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3646,,,,,,,,,,,,,4.50,,,,2,1,Market,1371 Grove Ave,,7607399377,9467935,,Clee Weldy Jr,10,San Diego,,,,,,,0,,32.5724785,-117.1040302,,,,,
1380-1382 Grove Ave,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3625,684,,,,,,,,,,,,4.50,,1957,,1,1,Market,,,,19223362,,Elisabeth English,3,San Diego,"Gated, Yard, Patio, Smoke Free",,2,,,,0,,32.5730194,-117.1038112,,,,,0.0
1423-1433 Grove Ave,The Grove Avenue Apartments,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,802,1.63,1311,,,,,,,,,,0.06,,1954,,2,3,Market,,,,5875601,Juan-Pablo Mariscal,Mar Group,18,San Diego,,2,9,1,,,0,,32.5722679,-117.1029712,,0.0,,0.0,0.0
1445 Grove Ave,The Grove Meadow Apartments,31,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,750,1.96,1468,,,,,,,,,,0.48,,1970,,2,2,Market,Mar Group - The Grove Meadow Apartments,,8587942600,8014360,Ciria Mariscal,Mar Group,32,San Diego,Laundry Facilities,6,21,,,4,0,,32.5723580,-117.1023740,,0.0,0.0,,0.0
1471 Grove Ave,Mar at Grove,40,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3643,859,2.88,2472,,,,,,,,,,0.86,,,,2,1,Market,FPI - Mar at Grove,,6194236395,9335241,,Blackstone Inc.,44,San Diego,"Property Manager on Site, Energy Star Labeled, Gated, Breakfast/Coffee Concierge, Storage Space, Pantry, Patio",1,33,6,,,0,,32.5725389,-117.1020006,,0.0,,0.0,0.0
2320-2328 Grove Ave,Country Aire Apartments,19,2,C,Multi-Family,Apartments,,Existing,San Diego,Nestor,San Diego,CA,92154-3124,825,1.65,1393,,,,,,,,,,0.10,,1975,,2,5,Market,Country Aire Apartments,,6194231841,1514552,Cynthia Underwood,Underwood Family Trust,23,San Diego,Laundry Facilities,,18,1,,,0,,32.5730100,-117.0835040,,,,0.0,0.0
2330 Grove Ave,Country Airre Apartments,70,2,C,Multi-Family,Apartments,,Existing,San Diego,Nestor,San Diego,CA,92154,917,2.64,2424,,,,,,,,,,2.73,,1970,,2,31,Market,MC Properties - Country Airre Apartments,,8585656400,4033083,,MC Properties,70,San Diego,"Clubhouse, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Yard, Lounge, Grill, Garden, Lawn, Patio",32,38,,,,0,,32.5739000,-117.0824100,,3.1,,,2.6
2345-2371 Grove Ave,Grove Terrace Apartments,90,2,C,Multi-Family,Apartments,,Existing,San Diego,Nestor,San Diego,CA,92154-3134,774,2.99,2319,,,,,,,,,,2.44,,1972,,2,12,Market,The Apartment Company - Grove Terrace Apartments,,6194233779,102536,Jocelyn Chase,The Apartment Company,133,San Diego,"Clubhouse, Laundry Facilities, Recycling",42,36,12,,,0,,32.5726020,-117.0827720,,2.4,,0.0,2.8
1301 Hemlock Ave,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,809,,,,,,,,,,4.50,,,,2,1,Market,,,,4254420,,Belasco Baker Family Trust,11,San Diego,,1,6,,,,0,,32.5701300,-117.1054500,,0.0,,,0.0
1325 Hemlock Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3758,725,1.31,949,,,,,,,,,,4.50,,1970,,2,1,Market,,,,4269278,,Record Owner,12,San Diego,Laundry Facilities,,8,,,,0,,32.5700420,-117.1048540,,,,,0.0
1340 Hemlock Ave,Imperial Villas Apartments,24,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,743,2.10,1560,,,,,,,,,,8.66,,1987,,2,4,Market,Imperial Villas - Casa de Pacifica,,6194235244,4033127,Roberto Walz,Walz Family Trust,60,San Diego,,8,16,,,,0,,32.5706970,-117.1046840,,12.5,,,6.3
1360 Hemlock Ave,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,2,1,Market,,,,5859548,,South Bay Community Services,12,San Diego,,,,,,,0,,32.5708112,-117.1043619,,,,,
1373-1375 Hemlock Ave,Hemlock Apartments,19,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,642,1.64,1054,,,,,,,,,,0.50,,,,2,2,Market,Capital Growth Properties,,8587299300,5859546,,Capital Growth Properties,16,San Diego,"Picnic Area, Grill",8,8,,,3,0,,32.5701400,-117.1042200,,0.0,0.0,,0.0
1380 Hemlock Ave,Croshier Apartments,17,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,732,1.96,1438,,,,,,,,,,0.42,,1978,,2,1,Market,Mar Group - Croshier Apartments,,8587942600,5859554,Ciria Mariscal,Mar Group,24,San Diego,,2,13,,,2,0,,32.5706621,-117.1040454,,0.0,0.0,,0.0
1407 Hemlock Ave,,28,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,2,4,Market,William R. & Jeanette M. Allen,William Allen,6194291678,5866558,,William R. & Jeanette M. Allen,24,San Diego,,,,,,,0,,32.5700300,-117.1030560,,,,,
1433 Hemlock Ave,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3800,810,1.49,1207,,,,,,,,,,0.54,,1978,,2,2,Market,AMI Property Management,,6196972555,4398187,Hemlock C,Hemlock Garden Apts L L C,15,San Diego,Laundry Facilities,,10,,,,0,,32.5698600,-117.1027520,,,,,0.0
1440-1460 Hemlock Ave,Hemlock Villas,23,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,600,2.25,1350,,,,,,,,,,4.50,,,,2,3,Market,Prime Asset - Hemlock Villas,,8584909125,5859556,Kay Langston Knapp,Knapp 2000 Family Trust,16,San Diego,,23,,,,,0,,32.5705383,-117.1022711,,4.4,,,
1457 Hemlock Ave,,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3848,,,,,,,,,,,,,4.50,,,,2,1,Market,,,,6241944,,Zivelonghi Raymond Eugene Trust 03-06-92,12,San Diego,,,,,,,0,,32.5699880,-117.1022530,,,,,
1474 Hemlock Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,850,1.88,1594,,,,,,,,,,,,1967,,1,3,Market,,,,6131762,Eric Choi,Eric Y. & Ann Choi,6,San Diego,Yard,,6,,,,0,,32.5706825,-117.1019985,,,,,0.0
1490 Hemlock Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3836,,,1700,,,,,,,,,,4.50,,1969,,2,1,Market,Constellation - 1490 Hemlock Ave,,6199557776,4531932,Matthew Hage,Matthew Hage,6,San Diego,,6,,,,,0,,32.5704880,-117.1017160,,0.0,,,
550 Highway 75,,51,4,B,Multi-Family,Apartments,,Proposed,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,,12,2025,,4,1,Market,,,,12789063,,,,San Diego,"Air Conditioning, Courtyard, Fitness Center, Pool",,,,,,0,,32.5853791,-117.1188743,,,,,
408 Hollister St,,380,4,A,Multi-Family,Apartments,Affordable Units,Abandoned,San Diego,Palm City,San Diego,CA,92154-4723,,,,,,,,,,,,,,,,,4,1,Market/Affordable,,,,11050808,,The Phair Company,,San Diego,,,,,,,0,,32.5884346,-117.0855764,,,,,
768 Hollister St,Pacific Point,164,3,B,Multi-Family,Apartments,,Existing,San Diego,Palm City,San Diego,CA,92154,882,2.36,2079,,,,,,,,,,3.40,,1986,,2,12,Market,Fairgrove - Pacific Point Apartments,,,1523585,Ernestina Kreutzkamp,Kreutzkamp 2000 Trust,232,San Diego,"Air Conditioning, Laundry Facilities, Picnic Area, Playground, Pool, Property Manager on Site, Grill, Maintenance on site",12,152,,,,0,,32.5829700,-117.0846090,,0.0,,,3.3
874 Hollister St,,,2,C,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Palm City,San Diego,CA,92154,,,,,,,,,,,,,,,,,1,,,,,,4300160,,Reisenauer Living Trust 4-11-2,16,San Diego,,,,,,,0,,32.5806710,-117.0851110,,,,,
945 Hollister St,Hollister Creek Apartments,46,2,C,Multi-Family,Apartments,Rent Subsidized,Existing,San Diego,Palm City,San Diego,CA,92154,1000,2.39,2394,,,,,,,,,,2.92,,1986,,2,5,Market/Affordable,Viewpoint - Hollister Creek Apartments,,6195753195,5874056,Gregg Seaman,"Viewpoint Equities, Inc.",50,San Diego,"Air Conditioning, Picnic Area, Spa, Grill",,46,,,,0,,32.5791800,-117.0837560,,,,,2.2
1135 Hollister St,,13,2,C,Multi-Family,Apartments,,Existing,San Diego,Nestor,San Diego,CA,92154-3193,,,1631,,,,,,,,,,4.50,,1955,,1,1,Market,,,,786605,Matthew Philbin,"Anthem Real Estate Ventures, Inc.",20,San Diego,,12,1,,,,0,,32.5757577,-117.0834778,,8.3,,,0.0
1150-1160 Hollister St,Palm Homes Apartments,16,2,C,Multi-Family,Apartments,,Existing,San Diego,Nestor,San Diego,CA,92154,900,2.17,1955,,,,,,,,,,7.19,,1977,,1,2,Market,Jeff and Tami Summit,,6194233023,4424740,,Jeff and Tami Summit,45,San Diego,Laundry Facilities,,16,,,,0,,32.5754860,-117.0848260,,,,,6.3
1165 Hollister St,,,2,C,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Nestor,San Diego,CA,92154,,,,,,,,,,,,,,,,,1,,,,,,5871248,,Guillen Victor M,65,San Diego,,,,,,,0,,32.5752215,-117.0835046,,,,,
1172-1194 Hollister St,Riverwalk Apartments,50,4,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Nestor,San Diego,CA,92154,929,1.88,1750,,,,,,,,,,0.14,,2011,,2,5,Affordable,ConAm - Riverwalk Apartments,,6196284702,8168290,Jimmy Silverwood,"Affirmed Housing Group, Inc",50,San Diego,"Air Conditioning, Business Center, Clubhouse, Courtyard, Laundry Facilities, Playground, Wheelchair Accessible (Rooms)",14,12,24,,,0,,32.5750455,-117.0847636,,0.0,,0.0,0.0
1305 Hollister St,,,2,C,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Nestor,San Diego,CA,92154,,,,,,,,,,,,,,,,,1,,,,,,5871245,,Gonzalez Maria R,70,San Diego,,,,,,,0,,32.5722539,-117.0836330,,,,,
1351 Hollister St,,30,2,C,Multi-Family,Apartments,,Existing,San Diego,Nestor,San Diego,CA,92154-3150,,,,,,,,,,,,,4.50,,,,2,3,Market,,,,5871247,,San Diego Housing Commission,40,San Diego,,,,,,,0,,32.5715620,-117.0838610,,,,,
1120 Holly Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,1,2,Market,,,,6241047,,Balboa Capital Corp,14,San Diego,,,,,,,0,,32.5717290,-117.1092910,,,,,
1168-1184 Holly Ave,,13,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,965,1.08,1044,,,,,,,,,,0.51,,1979,,2,8,Market,Law Offices of Arturo Zepeda,Arturo Zepeda,6197935155,6241055,Arturo Zepeda,Arturo & Barbara Zepeda,14,San Diego,,,10,3,,,0,,32.5716930,-117.1079020,,,,0.0,0.0
1186-1192 Holly Ave,,13,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,1300,,,,,,,,,,,,4.50,,1991,,2,2,Market,,,,4032827,,United States Of America Public Agency,39,San Diego,Air Conditioning,,1,12,,,0,,32.5718051,-117.1077452,,,,8.3,0.0
1230-1238 Holly Ave,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3515,,,,,,,,,,,,,4.50,,1963,,1,3,Market,,,,10664690,Michael Mazzotta,TenantReps.com,,San Diego,,,3,,,,0,,32.5719246,-117.1071315,,,,,0.0
1240-1270 Holly Ave,,5,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3515,,,,,,,,,,,,,4.50,,,,1,5,Market,,,,9466605,,Elissa M Beck,,San Diego,,,,,,,0,,32.5717011,-117.1069202,,,,,
1300-1316 Holly Ave,Imperial Villa Apartments,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,1110,1.45,1609,,,,,,,,,,0.57,,1987,,2,2,Market,Imperial Villa Apartments,Imperial Apartments,6194235244,5840255,Ernestina Alonso,Ernestina Alonso & Fernanda Solis,16,San Diego,,,9,,,,0,,32.5717710,-117.1055400,,,,,0.0
1325 Holly Ave,,4,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,150,,,,,,,,,,,,4.50,,2015,,2,1,,,,,11211244,,Barrelet,2,San Diego,,,,4,,,0,,32.5711696,-117.1050302,,,,0.0,
1333-1347 Holly Ave,,8,3,B,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3708,,,,,,,,,,,,,4.50,,2022,,2,2,Market,Sunrise Management - 1337-1343 Holly Ave,,8587516330,12775015,,Damen Cody Weeks,16,San Diego,"Air Conditioning, Freezer",,,8,,,0,,32.5712640,-117.1046772,,,,0.0,
1340 Holly Ave,Holly Avenue,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3765,600,1.07,644,,,,,,,,,,4.50,,,,2,2,Market,Holly Avenue,,6194295282,4737463,,Maurice Grayton,26,San Diego,"Laundry Facilities, Grill, Laundry Service",6,,,,,0,,32.5717533,-117.1047295,,0.0,,,
1344-1348 Holly Ave,,20,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3773,981,1.95,1914,,,,,,,,,,4.50,,1987,,2,2,Market,"Krone & Bushard, Inc.",Chris Bushard,6192267368,4188641,Chris Bushard,"Krone & Bushard, Inc.",58,San Diego,"Laundry Facilities, Deck, Patio",,20,,,,0,,32.5719080,-117.1045130,,,,,5.0
1365-1373 Holly Ave,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3865,1066,1.62,1724,,,,,,,,,,4.50,,1955,,2,1,Market,,,,10953033,Sheila Trassare,M&S Homes Inc,10,San Diego,"Fenced Lot, Picnic Area, Yard, Double Pane Windows",,3,1,,,0,,32.5712495,-117.1040895,,,,0.0,0.0
1411 Holly Ave,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932,,,,,,,,,,,,,4.50,,,,2,,Market,,,,5840254,,Burnett Family Trust 12-08-99,6,San Diego,,,,,,,0,,32.5712270,-117.1031630,,,,,
1416-1428 Holly Ave,Ebb Tide Apartments,13,2,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3851,760,1.57,1195,,,,,,,,,,4.50,,1979,,2,4,Market,Mar Group - Ebb Tide Apartments,,8587942600,5840238,Ciria Mariscal,Mar Group,21,San Diego,,1,12,,,,0,,32.5719904,-117.1030381,,0.0,,,8.3
1430-1440 Holly Ave,,6,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3810,,,,,,,,,,,,,4.50,,,,2,2,Market,,,,9467949,,Louis A Aja,10,San Diego,,,,,,,0,,32.5717883,-117.1027337,,,,,
1443-1447 Holly Ave,,7,3,C,Multi-Family,Apartments,,Existing,San Diego,Imperial Beach,Imperial Beach,CA,91932-3809,741,,,,,,,,,,,,4.50,,1962,,2,2,Market,,,,9467985,Julian Malotti,OB One Church,10,San Diego,"Air Conditioning, Yard",6,,1,,,0,,32.5710210,-117.1026575,,0.0,,0.0,
